文本,SARA与仇恨言论,亵渎宗教,淫秽色情与违背风俗,网络赌博,诽谤网暴与勒索,虚假信息与谣言,分裂与极端主义,理由(法律与法规),本地黑话与违规关键词
"- Dia sendiri yang ngiklanin promo cashback di appnya
- Penggunaan kode berhasil tapi cashback ga masuk2
- Bilangnya ada kesalahan pada sistem dan promo sudah berakhir

Bodo amat woy kesalahan sistem bukan urusanku, aku hanya ingin cashback 20% yang dijanjikan olehmu:( USER URL",0,0,0,0,0,0,0,正常的消费者权益客诉表达。虽含情绪化俚语，但未违反任何印尼法律法规及社区底线,无
"- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !",0,0,0,0,1,0,0,包含人身攻击与侮辱性词汇。触犯UU ITE第27条第3款(名誉诽谤)及社区反霸凌准则,bego
"- kampret kan kalo typo-nya di email kantor ketika gue ngerasa ngetik kata serpong ternyata pas udah ke kirim ga ada ( r ) nya \xf0\x9f\x98\x91",0,0,0,0,0,0,0,错别字引发的性暗示自嘲笑话。属于灰色地带，无传播色情意图，未实质违反《反色情法》,"kampret, sepong(错别字隐含)"
"- Mending makan disini lebih murah, buang-buang duit lo ntar juga jadi tai.

Atau gak si A beli barang murah, terus si B komen ""Ih kok lo beli disitu sih, kan murah pasti bahannya gak bagus.""

Lalu, si B secara gak langsung dan gak merasa udah nyakitin hati si A dengan perkataan",0,0,0,0,0,0,0,探讨社交行为与言语伤害的举例。虽含排泄物粗俗词汇但不构成定向攻击，合规,tai
"/biarin oppa masukim vibrator ke memek/ oppa kok di masukin? Aku kan mau pemotretan....
Lanjut?",0,0,1,0,0,0,0,极度露骨的语爱角色扮演与性行为描写。严重违反UU ITE第27条第1款与《反色情法》,memek
"/peluk badan lu dr belakang; selipin tngan kedalem cd lu/ ngaceng nih yang- /gesekin jari tengah ke bibir memek lu; teken klit lu/",0,0,1,0,0,0,0,极度露骨的语爱角色扮演与性行为描写。严重违反UU ITE第27条第1款与《反色情法》,"ngaceng, memek, klit"
"ada bumil ga? Jadi pengen ngentotin memek bumil yang binal frontal dan suka ngelonte pas suaminya gaada",0,0,1,0,0,0,0,公开的色情幻想招募。含有针对孕妇的侮辱性性词汇，严重违反《反色情法》,"ngentotin, memek, ngelonte"
"ada perek yang imagine nya liar? Yg longrep gak cuma desah doang. Mau gue mainin memeknya. Langsung follback ya",0,0,1,0,0,0,0,公开的语爱与网络性行为招募。严重违反UU ITE第27条第1款与《反色情法》,"perek, longrep, memek"
"ada perek yang mau dimainin memeknya? Yang longrep ya",0,0,1,0,0,0,0,公开的语爱与网络性行为招募。严重违反UU ITE第27条第1款与《反色情法》,"perek, memek, longrep"
"cari yeoja yg chara seksi lonte, suka spam pic charanya, yg mau ngentot. Rep / like ya - draxe",0,0,1,0,0,0,0,K-pop圈子内的色情角色扮演招募。严重违反UU ITE第27条第1款与《反色情法》,"yeoja, chara, lonte, ngentot"
"cowo yang jago drasex mana? sini ngentot sama adek - luvian",0,0,1,0,0,0,0,明确的文字爱招募与性暗示。严重违反UU ITE第27条第1款与《反色情法》,"drasex, ngentot"
"daritadi nungging sambil mainin memek sange bgt cuy:(",0,0,1,0,0,0,0,露骨的女性自慰行为描述。严重违反《反色情法》及违背社会公共道德(Kesusilaan),"memek, sange"
"duh rindu gesekan kontol doi ke memek~",0,0,1,0,0,0,0,露骨的性器官摩擦描述。严重违反UU ITE第27条第1款与《反色情法》,"kontol, memek"
"jepitin kontol gua pake memek lu sini",0,0,1,0,0,0,0,露骨的性动作指令。严重违反UU ITE第27条第1款与《反色情法》,"kontol, memek"
"lewat kamar kamu liat kamu elusin memek/ heh ngapain itu tangannya? -barom fc",0,0,1,0,0,0,0,语爱场景中的自慰情节描写。严重违反UU ITE第27条第1款与《反色情法》,memek
"memek perek pengen di gesekin ke abs cowok nih mhh",0,0,1,0,0,0,0,带有露骨性器官词汇的色情幻想。严重违反《反色情法》及违背社会公共道德,"memek, perek"
