Label,Tweet,labels,reasoning
2,"- Dia sendiri yang ngiklanin promo cashback di appnya\n- Penggunaan kode berhasil tapi cashback ga masuk2\n- Bilangnya ada kesalahan pada sistem dan promo sudah berakhir\n\nBodo amat woy kesalahan sistem bukan urusanku, aku hanya ingin cashback 20% yang dijanjikan olehmu:( USER URL","[0, 0, 0, 0, 0, 0, 0]","The text is a customer's complaint with informal language and no hate speech, misinformation, incitement to violence, harassment, sexual content, illegal transactions, or national security issues."
3,- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',"[0, 0, 0, 1, 0, 0, 0]",The text contains harassment and bullying language by insulting the addressed person.
2,- kampret kan kalo typo-nya di email kantor ketika gue ngerasa ngetik kata serpong ternyata pas udah ke kirim ga ada ( r ) nya \xf0\x9f\x98\x91',"[0, 0, 0, 1, 0, 0, 0]","The text uses an insulting term 'kampret' which is considered harassment, although it is not targeted at a specific protected group."
2,"- Mending makan disini lebih murah, buang-buang duit lo ntar juga jadi tai.""\n\nAtau gak si A beli barang murah, terus si B komen ""Ih kok lo beli disitu sih, kan murah pasti bahannya gak bagus.""\n\nLalu, si B secara gak langsung dan gak merasa udah nyakitin hati si A dengan perkataan'","[0, 0, 0, 1, 0, 0, 0]","The text illustrates interpersonal insult and bullying in a casual conversation context, which fits under harassment and bullying."
2,/biarin oppa masukim vibrator ke memek/ oppa kok di masukin? Aku kan mau pemotretan....\nLanjut?',"[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 400 - {'error': {'message': ""The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://***.com/***?linkid=***"", 'type': 'upstream_error', 'param': 'prompt', 'code': 'content_filter'}}"
2,"/peluk badan lu dr belakang; selipin tngan kedalem cd lu/ ngaceng nih yang- /gesekin jari tengah ke bibir memek lu; teken"" klit lu/'","[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 400 - {'error': {'message': ""The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://***.com/***?linkid=***"", 'type': 'upstream_error', 'param': 'prompt', 'code': 'content_filter'}}"
2,ada bumil ga? Jadi pengen ngentotin memek bumil yang binal frontal dan suka ngelonte pas suaminya gaada',"[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 400 - {'error': {'message': ""The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://***.com/***?linkid=***"", 'type': 'upstream_error', 'param': 'prompt', 'code': 'content_filter'}}"
2,ada perek yang imagine nya liar? Yg longrep gak cuma desah doang. Mau gue mainin memeknya. Langsung follback ya',"[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 400 - {'error': {'message': ""The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://***.com/***?linkid=***"", 'type': 'upstream_error', 'param': 'prompt', 'code': 'content_filter'}}"
2,ada perek yang mau dimainin memeknya? Yang longrep ya',"[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 400 - {'error': {'message': ""The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://***.com/***?linkid=***"", 'type': 'upstream_error', 'param': 'prompt', 'code': 'content_filter'}}"
2,"cari yeoja yg chara seksi lonte, suka spam pic charanya, yg mau ngentot. Rep / like ya - draxe'","[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 400 - {'error': {'message': ""The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://***.com/***?linkid=***"", 'type': 'upstream_error', 'param': 'prompt', 'code': 'content_filter'}}"
