text,subtask_a,subtask_b,subtask_c
Lule e eger e rrazikshme,ato frutat kan helm.;NOT;;
Kungull eshte;NOT;;
Kungull;NOT;;
Iriq Bio;NOT;;
Eshte kungull;NOT;;
Ed rama me mjekerr😉;NOT;;
kajota;NOT;;
PYETE SPIROPALIN se ajo e di;NOT;;
Patate;NOT;;
Dardhe Me Stil Iriqi😂😂;NOT;;
Kungull eshte;NOT;;
Dhe un kam ne shpi dhe e bej burek sepse eshte shume i mire per cdo loje semundje @joqalbanian;NOT;;
Patate kineze;NOT;;
eshte kungull;NOT;;
Quhet patate;NOT;;
Kungull;NOT;;
Kungull eshte;NOT;;
Patate arabe;NOT;;
patate e embek ka shije si kungulli i vogel;NOT;;
😘;NOT;;
Kungull;NOT;;
dardhë me gjëmba;NOT;;
Dardh po I ka vdek berberi;NOT;;
Dardh me mbiemer kivi😂😂😂;NOT;;
Patate;NOT;;
Patate me ferra asht se kam edhe un nshpi;NOT;;
Eshte patate e embel;NOT;;
Se nuk e di;NOT;;
Nuk asht frut ai;NOT;;
Kajota;NOT;;
Kungull o popull kungull;OFF;TIN;GRP
Patate e embel quhet;NOT;;
@taku_begaj  ca esht ky vlla 😅😅😅 mua m duket kungull grek 😅😅;OFF;TIN;GRP
Patate po e llojt qe rritet  si kivi ose kungulli varet neper mure osht shm e mir;NOT;;
Qershi;NOT;;
Kajota eshte perime ka formen e nje dardhe dhe esht si patate e embel;NOT;;
Kungull spanjoll, gatuhet tave me patate ,,etj normal.;NOT;;
Dardha gjirokastrite;NOT;;
kungull me gjemba ndryshe quhen kajota;NOT;;
Kungull;NOT;;
Patate indiane👌;NOT;;
Kajot;NOT;;
Qershi;NOT;;
patate eshte;NOT;;
Ky. Fruti.  Eshte😎  kajota;NOT;;
Dardh e pa ruarr;NOT;;
🤣🤣🤣🤣🤣;NOT;;
Tope me lesh.;OFF;UNT;
O raka esht avokado;OFF;TIN;GRP
Kungull;NOT;;
kungull, shumë i shijshëm në gatim;NOT;;
Kjo quhet rilindje. Ose koqe rame me shkurt.;OFF;TIN;GRP
Dardh gjirokastre,qe vetem ta shohesh e mos ta hash kurr;NOT;;
Esht patate vec se ka me shum vitamina dhe shije se patatet origjinale;NOT;;
per sa koh eshte rama ne pushtet keto cudira do ndodhin ... prite kur me dal ndonje domatme me baluke;NOT;;
Kungull;NOT;;
Patate🥔🥔🥔;NOT;;
Dardh e eger hahaah😂🤣😂;NOT;;
Patate eger mo vlla se kam mbjell te kopshti sa te dush😂😂;NOT;;
kungull;NOT;;
Kungull e shartuar me kivi,. Kungullkivi RAMA IK 😜😜😂😂😂@igli_bala 😂 😂 😂 😂;NOT;;
Kiwi austrilian me origjine greke😉;NOT;;
😂 ka tru tjetri;NOT;;
Quhet Kajote. Bëjë sallatë me vaj e uthull se shkon mirë me kte frut. 😂;NOT;;
Hahet un e kam henger ne turqi;NOT;;
Jan dardha po nuk ja depilu se asht ftoht😂😂😂;NOT;;
Kjo quhet Patate Amerikane, edhe vetem mund te zihet, nuk behet e skuqur;NOT;;
@ini_hysa1  oo gjigand 😂🇦🇱;NOT;;
Patate e embel;NOT;;
dardh adoleshent ka ngritur floket me xhel;NOT;;
Kjo quhet patate deti.Qerohet e gjithe lekura e jashtme megjithe gjembat dhe skuqet njesoj si patatja e zakonshme,ne shije vjen pak me e embel se patatja normale;NOT;;
Fik po nuk o fik 😂😂;NOT;;
Koqe pylli;OFF;UNT;
Edhte patate;NOT;;
Kungulli hirushes😂😂;NOT;;
Kungull .;NOT;;
Kungull o kungull;OFF;TIN;IND
Behet sallat behet byrek me qumesht;NOT;;
Ftoj 😂😂😂;NOT;;
😍😍😍😍👏;NOT;;
Kungull greke behet e skuqur ne feta me pak hudhra dhe kose ose i mbushur me mish te grire e karota e djathe te grire kackavall eshte shume i mire;NOT;;
Hyn te lloj i kungullit esht shum i shijshem ne gatim dhe ka shum vlera ushqimore;NOT;;
Kungull eshte;NOT;;
Patate indjane;NOT;;
Kungull kam un ne shpi te till;NOT;;
Patate franceze;NOT;;
Jan te ngrenshem madje me 400 lek kilja;NOT;;
Kungull me gjemba;NOT;;
Patate deti;NOT;;
Kungull i eger;NOT;;
Dardhe e sterilizuar;NOT;;
Shkule dhe digje se a kungull serb;OFF;TIN;GRP
Kajote quhet italisht🔥;NOT;;
Dardh me gjemba 👌🏻;NOT;;
Patate e eger;NOT;;
Kungull i eger.Sa shume jane shtuar 😁😁😁qe kur drejtimin e mori Lali fiku;NOT;;
Kur i ben te skuqur;NOT;;
Kungull jan dhe jan shum te mir;NOT;;
Kungull o kunguj;OFF;TIN;GRP
tope dashi;OFF;UNT;
Patate;NOT;;
Kungull o kungull😂😂;OFF;TIN;IND
Dardh me lesh😂;OFF;UNT;
Patate;NOT;;
Po une e njoh kinezet vdesin per ate frut;NOT;;
kungull;NOT;;
Kajota;NOT;;
kur dardh se rru fare 😂😂;OFF;UNT;
Iriq i bardh se ka kap dilli me nxih;NOT;;
Patate;NOT;;
Se e kampas dhe une;NOT;;
😚;NOT;;
Kungall;NOT;;
Dardhe ne mode e vitit 2020;NOT;;
Pata te;NOT;;
Dardhe e shartum me kivi 😂😂;NOT;;
Kungull sepse i prodhoj ne shpi;NOT;;
Qershi😎;NOT;;
Kungull;NOT;;
Dardha me lesh;NOT;;
Bolentino me lesh;OFF;UNT;
Koqet e edwinit jan;OFF;TIN;IND
Eshte patellxhan grek;NOT;;
Eshte  patate  e sharrtuar me kungull;NOT;;
Kastravec i bardh me lesh i shortum me kungull 😂;NOT;;
@bledimarkuu ca esht ky mo (palik)😂😂;NOT;;
Chayote quhet edhe vendi ku exporton me shume eshte costa rica;NOT;;
Kungull;NOT;;
Patate e eger;NOT;;
po ti me mir te kishe pyet a ty  ku  ishte imbjellur ate te zotin e shtepis  sa hap gjith ket problem ktu na strson kot 😂😂;NOT;;
Dardhe esht ,, Po nuk esht pjek ala;NOT;;
Patate;NOT;;
Eshte patate 🔥🔥🔥💪💪💪💪;NOT;;
Shalqi 🍉;NOT;;
Kungullus;NOT;;
Kungull me gjemba;NOT;;
Pjeshk me lesh;NOT;;
Pjeshk 😂😂;NOT;;
osht kungull o kungull;OFF;TIN;IND
Kungull 😊;NOT;;
KOKRAT E mia🤣🤣🤣;OFF;UNT;
patate;NOT;;
pjeshk e pa kaluar akoma te dora e dokit @skerdi.faria 😂😂😂😂😂;NOT;;
