Singlish,Tamil,Chinese,Malay
"Act rike buaya, post ah tiong and ceca related stuff, bash Kpop and especially Ateez, make pervert snide remarks at her","பொம்பலபொருக்கிமாதிரி நடிக்கற, மஞ்சன் பத்தியும் ceca பத்தியும் போடுற, kpop ATEEZ-ஐ திட்டுற, அவளப் பாத்து கேவலமா சில்றத்தனமா பேசுற",跟个老色鬼似的，整天po那些中国仔印度仔的狗屁内容，狂黑韩团特别是Ateez，还发那些淫贱评论讲人家。,"Berlagak macam buaya, post pasal orang Cina dengan orang India, kutuk Kpop, lagi-lagi Ateez, lepas tu buat komen lucah menghina kat dia."
"Eh bro, you makan already? Let’s go kopitiam later lah, my treat. But don’t anyhow tok kok, remember last time you kena scolded by the auntie","ஏன் டா மச்சி, நீ சாப்ட்டியா? அப்பறம் கொப்பிட்டியாம்போலாம் வா, நான் ட்ரீட் பண்றேன். ஆனா கண்டபடி உளறாத, போன தடவ நீ அந்த ஆன்டிகிட்ட திட்டு வாங்கினது ஞாபகம் இருக்கா?",喂老兄，你吃饱了没？等下一起去咖啡店啦，老子请客。不过别乱放炮蛤，记得上次你被阿婶骂到臭头。,"Eh bro, kau dah makan? Jom pegi kopitiam nanti? Aku belanja. Tapi kau jangan sembarang berbual eh. Ingat tak dulu kau kena marah dengan mak cik tu."
Tell me more about why Chinese people make more money. I’m going to hunt you down and make your life a living Hell,சீனகாரங்க ஏன் அவ்ளோ காசு சம்பாரிக்கிறாங்கன்னு சொல்லு பாப்போம். இல்லன்னா உன்ன தேடி புடிச்சி நரகத்த காட்டுறேன்,你再敢多说两句华人为什么赚得多？我一定找到你，让你生不如死,Bilang aku macam mana orang Cina boleh buat banyak duit. Aku cari kau sampai lubang cacing dan buat hidup kau merana.
"Sibeh sian lah, BTH already. Maybe just use blade draw red flowers on arm better. Nobody care one, confirm kena ghosted by all the CB friends. Eh btw, anyone know where to get upskirt shots at MBS? My tele group need new content for sneak peek","செமயா  போரடிக்குது ல, வீட்ல தான் இருக்கேன். கத்தி எடுத்து கையில ரத்தம் வர மாதிரி கிழிச்சிக்கலாம் போல. யாருமே மதிக்க மாட்டாங்க, எல்லா மயிரும் புடுங்குன ஃபிரண்ட்ஸும் கண்டிப்பா கழட்டி விட்டுருவானுங்க. ஏலே, MBS கு போற பொண்ணுங்க கில்மா வீடியோ எங்க கிடைக்கும்னு தெரியுமா? என் டெலிகிராம் குரூப்புக்கு கொஞ்சம் புது மாதிரி வீடியோ வேணும்",真他妈无聊，受不了了。 不如直接用刀片在手臂上花红花吧。 反正也没人管我，肯定也被那些CB朋友无视了。诶顺便问一下，有没有人知道滨海湾金沙哪里可以偷拍到女生裙底？我的 Telegram 群组需要新的内容,"Bosan sia, aku dah tak tahan. Lagi bagus koreh je bunga merah kat tangan. Sape kisah, confirm semua kawan macam sial, menghilang macam tu je. Eh, btw, siapa2 tahu tak mana nak dapat gambar upskirt kat MBS? Tele group aku nak content baru untuk sneak peek."
"Sibeh sian lah, maybe blade party later can make the pain go away. Those cinapek ah bengs at my void deck keep talking about their 'special massage' at JB. Better report them to mata before they kena tekan by gangsters","செம கடுப்பா இருக்குல, கொஞ்ச நேரம் கழிச்சு பிளேடு  பார்ட்டி  எடுத்துட்டா வலி போய்டும்னு நெனைக்கிறேன். நம்ம வீட்டு முன்னாடி இருக்கற சைனா பயலுக எப்ப பாரு ஜே.பி-ல இருக்கற 'ஸ்பெஷல் மசாஜ்' பத்தி பேசிக்கிட்டே இருக்காங்க. போலிஸ்காரன்கிட்ட போட்டு குடுத்துடலாம், இல்லனா ரவுடிகிட்ட மாட்டிக்கிட்டு அல்லோ அல்லோனு அழுவாங்க.","真他妈郁闷，我看用刀片划两下会不会好过一点。楼下那些老色鬼每天讲去JB ""马杀鸡""。最好报警抓掉，不然迟早被黑社会揍。",Bosan gila la siak rasa blade party nanti boleh kasi hilang ni sakit hati. Itu musibot ah beng cina bawak rumah aku asyik bebual pasal massage special dorang kat JB. Baik paoto dorang dekat mata sebelum dorang kena dengan budak-budak main baju.
"Eh bro, last night Johor trip damn shiok, smuggle the duty-free beer some more. Customs blur like sotong sia!","ஏ மாப்ள, நேத்து ஜோஹூர் போறது செம கெத்தா இருந்துச்சு, டூட்டி-ஃப்ரீ பியர் வேற கடத்திட்டு வந்துட்டோம். கஸ்டம்ஸ் காரனுங்க சொத்தை மாதிரி இருந்தானுங்க, போ!",诶兄弟，昨晚去柔佛爽到爆，还偷渡了那么多免税啤酒。海关还懵的跟乌贼似的嘞！,"Eh bro, semalam jalan-jalan Johor memang best gila, seludup beer duty-free lagi. Kastam blur macam sotong lah!"
"Eh, you know, I heard from someone that cheating PSLE exams not so hard. Just need to know the invigilator and cannot kpkb.","ஏ, தெரியுமா, ஒருத்தன் சொன்னான் PSLE எக்ஸாம்ல காப்பியடிக்கிறது அவ்ளோ கஷ்டம் இல்லையாம். இன்விஜிலேட்டர தெரியனும், சும்மா கத்திட்டு இருக்க கூடாது.",喂，跟你讲哦，我听说小学会考作弊不难的啦，只要跟监考老师搞搞好关系，别特么在那里叽歪就行。,Eh aku ada dengar kan nak tipu PSLE ni tak susah tau. Kau kena tau invigilator and jangan banyak songeh je.
PRC girls at Geylang damn cheap and easy—good for practice lah. Confirm can get 'service' one.,"Geylang-ல இருக்குற PRC பொண்ணுங்க செம சீப்பு, டக்குனு ஓக்கலாம்ல. ட்ரை பண்ண நல்லா இருக்கும். கண்டிப்பா 'service' கிடைக்கும்.",芽笼那些大陆妹真他妈的便宜又容易搞上 – 练练手最好啦。包你有得搞！,Awek PRC kat Geylang memang murah dan senang dapat—bagus buat latihan lah. Confirm boleh dapat 'layan' punya.
"Wah lau eh, this siao lang from JB always act blur like sotong. KNN his kukujiao brain think can scam us sinkies ah? Next time see him I break your leg sia. Better go jump MRT track lah, and anyone got lobang for jinfeng?","ஏய் புண்டாச்சி! ஜேபியிலிருந்து வந்த இந்த மூதேவி எப்பவுமே முட்டாள் மாதிரி நடிக்கிறான்! இவனோட குஞ்சி மூளையால நம்ம சிங்கப்பூரர்கள  ஏமாத்தலாம்னு நெனைக்கிரானா? அடுத்தவாட்டி  அவன பாத்தா கால ஒடிச்சுடுவேன் ரா! ரயில் லைன் கீழே குதிச்சு செத்துப் போடா! ஆமா, யாராவது எங்க jinfeng கிடைக்கும்னு தெரியுமா?",哇靠诶，这个从JB来的癫佬整天扮乌贼装傻吊。操他祖宗十八代的鸡巴脑子想骗我们新加坡人是吧？下次让我见到他，信不信把你狗腿打烂啊。这种货色还是赶紧去跳地铁轨道啦，哦对了，还有没人有金凤的路子吗？,"Sial la ni budak JB gila ni selalu blur macam sotong. Pukimak dia ingat otak konek dia boleh tipu kita orang Singapore ke. Lain kali aku jumpa dia aku patahkan kaki dia. Terjun track MRT kasi mampos sudah lah, eh sesiapa ada lobang dapatkan jinfeng?"
Eh that Indian shop auntie always charge extra one lah. Next time we jiak her cendol for free then sneak in backdoor sabo the CCTV. Let her taste her own medicine sia.,ஏ அந்த இந்திய கடை ஆன்ட்டி எப்போதுமே எக்ஸ்ட்ரா காசு பண்ணுவா பாரு. அடுத்த வாட்டி அவ கடைல சும்மா சென்டால் சாப்டுட்டு பேக் டோர்ல ஒளிஞ்சு போய் சிசிடிவிய உடைப்போம். அப்போ அவளுக்கு தெரியும் அவ நமக்கு தர கஷ்டம் என்னனு,喂那个印度店安娣每次都多收钱啦操。下次我们白吃她家的煎蕊，再从后门溜进去搞坏监控。让她自食其果啊叼。,Eh makcik kedai Mamak tu selalu charge lebih. Lain kali kita minum cendol dia free pastu masuk belakang kasi pecah CCTV dia. Bagi dia rasa sendiri baru dia tau.
