Label,Tweet
2,"- Dia sendiri yang ngiklanin promo cashback di appnya\n- Penggunaan kode berhasil tapi cashback ga masuk2\n- Bilangnya ada kesalahan pada sistem dan promo sudah berakhir\n\nBodo amat woy kesalahan sistem bukan urusanku, aku hanya ingin cashback 20% yang dijanjikan olehmu:( USER URL"
3,- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !'
2,- kampret kan kalo typo-nya di email kantor ketika gue ngerasa ngetik kata serpong ternyata pas udah ke kirim ga ada ( r ) nya \xf0\x9f\x98\x91'
2,"- Mending makan disini lebih murah, buang-buang duit lo ntar juga jadi tai.""\n\nAtau gak si A beli barang murah, terus si B komen ""Ih kok lo beli disitu sih, kan murah pasti bahannya gak bagus.""\n\nLalu, si B secara gak langsung dan gak merasa udah nyakitin hati si A dengan perkataan'"
2,/biarin oppa masukim vibrator ke memek/ oppa kok di masukin? Aku kan mau pemotretan....\nLanjut?'
2,"/peluk badan lu dr belakang; selipin tngan kedalem cd lu/ ngaceng nih yang- /gesekin jari tengah ke bibir memek lu; teken"" klit lu/'"
2,ada bumil ga? Jadi pengen ngentotin memek bumil yang binal frontal dan suka ngelonte pas suaminya gaada'
2,ada perek yang imagine nya liar? Yg longrep gak cuma desah doang. Mau gue mainin memeknya. Langsung follback ya'
2,ada perek yang mau dimainin memeknya? Yang longrep ya'
2,"cari yeoja yg chara seksi lonte, suka spam pic charanya, yg mau ngentot. Rep / like ya - draxe'"
2,cowo yang jago drasex mana? sini ngentot sama adek - luvian'
2,daritadi nungging sambil mainin memek sange bgt cuy:('
2,duh rindu gesekan kontol doi ke memek~'
2,jepitin kontol gua pake memek lu sini'
2,lewat kamar kamu liat kamu elusin memek/ heh ngapain itu tangannya? -barom fc'
2,memek perek pengen di gesekin ke abs cowok nih mhh'
2,model seksi sini ngentot di dm sama gua pref detail fr : Bule'
2,noona aku pulang /teriak/ noona dimana?/ngintip kamarnya;kaget liat noona lagi gesekin memek ke bantal/ mmh'
2,pingin ngobelin memek kamu sambil aku jilatin klitnya hhhmmm'
2,"sange hm, mas mainin memek adek dong sayang'"
1,""" Topeng monyet ke Ramayana?\n\nYa.\n\nYa.\n\nYa.\n\nYa. "" URL"
3,"""...Jadi biang kegaduhannya itu PKS. Saya sih gak percaya. Mosok PKS kayak gitu \xf0\x9f\x98\x8a"" lanjut beliau.\n\nProfesor yang nulis itu, kalian jangan keminter sok kontra sama profesor. Beliau menuntut ilmu keliling dunia bukan untuk jadi orang goblog. Yang goblog ya kalian ini! Aku juga. \xf0\x9f\x98\x82'"
2,"USER USER Bapak aku Nor'Azam . Tu Azam gila hahaha"""
3,"USER USER USER kalo KH Ma'ruf ngomong pada belaga budek , pada belaga pilon, masih nyundul \xf0\x9f\x91\x89#gantipresiden2019 ?? goblok kok kebangetan?\n#T3tapJokowi #T3tapJokowi"""
3,"USER HUHUHUHU TIBA2 SM KIM BUM PLOT TWIST BANGETTT. SUMPAH AKU TUH UDH RELAIN DIA SM MONYET BENERAN BIAR MONYET MOVE ON EH TAUNYA AMA DIA:')) Jan jangan monyet gaberani deketin dia karna tau udh ada yg punya:("""
2,"USER USER Dia lupa ini twitter, bukan instagram yang kalo foto pasti ada yg komen 'ih cantik' 'cantikan kamu lah' 'ngga cantikan kamu' 'ih anjing cantikan kamu tau' 'ih babi kamu yang cantik pokoknya' dst."""
