Label,Tweet,labels,reasoning
2,"- Dia sendiri yang ngiklanin promo cashback di appnya\n- Penggunaan kode berhasil tapi cashback ga masuk2\n- Bilangnya ada kesalahan pada sistem dan promo sudah berakhir\n\nBodo amat woy kesalahan sistem bukan urusanku, aku hanya ingin cashback 20% yang dijanjikan olehmu:( USER URL","[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-3-5-haiku-20241022 under group default (distributor) (request id: 20260408072132347702968YR2fDqNq)', 'type': 'new_api_error'}}"
3,- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',"[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-3-5-haiku-20241022 under group default (distributor) (request id: 20260408072132112688134JF48Xc1f)', 'type': 'new_api_error'}}"
2,- kampret kan kalo typo-nya di email kantor ketika gue ngerasa ngetik kata serpong ternyata pas udah ke kirim ga ada ( r ) nya \xf0\x9f\x98\x91',"[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-3-5-haiku-20241022 under group default (distributor) (request id: 202604080721327307496829pDgnAF)', 'type': 'new_api_error'}}"
2,"- Mending makan disini lebih murah, buang-buang duit lo ntar juga jadi tai.""\n\nAtau gak si A beli barang murah, terus si B komen ""Ih kok lo beli disitu sih, kan murah pasti bahannya gak bagus.""\n\nLalu, si B secara gak langsung dan gak merasa udah nyakitin hati si A dengan perkataan'","[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-3-5-haiku-20241022 under group default (distributor) (request id: 20260408072132327536776muDoVHUx)', 'type': 'new_api_error'}}"
2,/biarin oppa masukim vibrator ke memek/ oppa kok di masukin? Aku kan mau pemotretan....\nLanjut?',"[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-3-5-haiku-20241022 under group default (distributor) (request id: 20260408072131761264976ZUqZdDQ4)', 'type': 'new_api_error'}}"
2,"/peluk badan lu dr belakang; selipin tngan kedalem cd lu/ ngaceng nih yang- /gesekin jari tengah ke bibir memek lu; teken"" klit lu/'","[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-3-5-haiku-20241022 under group default (distributor) (request id: 202604080721328814682cWmOnyBv)', 'type': 'new_api_error'}}"
2,ada bumil ga? Jadi pengen ngentotin memek bumil yang binal frontal dan suka ngelonte pas suaminya gaada',"[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-3-5-haiku-20241022 under group default (distributor) (request id: 20260408072131821859106Uyu9zd3f)', 'type': 'new_api_error'}}"
2,ada perek yang imagine nya liar? Yg longrep gak cuma desah doang. Mau gue mainin memeknya. Langsung follback ya',"[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-3-5-haiku-20241022 under group default (distributor) (request id: 20260408072132170409793zTgc0Zz)', 'type': 'new_api_error'}}"
2,ada perek yang mau dimainin memeknya? Yang longrep ya',"[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-3-5-haiku-20241022 under group default (distributor) (request id: 202604080721326719217385RHuJEtJ)', 'type': 'new_api_error'}}"
2,"cari yeoja yg chara seksi lonte, suka spam pic charanya, yg mau ngentot. Rep / like ya - draxe'","[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-3-5-haiku-20241022 under group default (distributor) (request id: 2026040807213342855830TTC5642m)', 'type': 'new_api_error'}}"
