Label,Tweet,labels,reasoning
2,"- Dia sendiri yang ngiklanin promo cashback di appnya\n- Penggunaan kode berhasil tapi cashback ga masuk2\n- Bilangnya ada kesalahan pada sistem dan promo sudah berakhir\n\nBodo amat woy kesalahan sistem bukan urusanku, aku hanya ingin cashback 20% yang dijanjikan olehmu:( USER URL","[0, 0, 0, 0, 0, 0, 0]","The text is a consumer complaint regarding a failed cashback transaction and service dispute. It expresses frustration but does not contain hate speech, hoaxes, violence, harassment, sexual content, illegal transactions, or threats to national security under Indonesian law."
3,- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',"[0, 0, 0, 0, 0, 0, 0]","The text is a personal expression of frustration using colloquial slang ('bego') in a relationship context. It does not reach the severity threshold for hate speech, severe harassment (like religious slurs), or legal violations under UU ITE compared to the provided examples."
2,- kampret kan kalo typo-nya di email kantor ketika gue ngerasa ngetik kata serpong ternyata pas udah ke kirim ga ada ( r ) nya \xf0\x9f\x98\x91',"[0, 0, 0, 0, 0, 0, 0]","The text expresses personal frustration using informal slang ('kampret') regarding a workplace typo. It does not target a specific individual or group, nor does it meet the legal threshold for hate speech, harassment, or other prohibited categories under UU ITE."
2,"- Mending makan disini lebih murah, buang-buang duit lo ntar juga jadi tai.""\n\nAtau gak si A beli barang murah, terus si B komen ""Ih kok lo beli disitu sih, kan murah pasti bahannya gak bagus.""\n\nLalu, si B secara gak langsung dan gak merasa udah nyakitin hati si A dengan perkataan'","[0, 0, 0, 0, 0, 0, 0]","The text describes a hypothetical social scenario involving interpersonal rudeness and judgment but does not target specific individuals, protected groups (SARA), or incite violence. It appears to be narrative content discussing social etiquette rather than direct harassment or policy violations."
2,/biarin oppa masukim vibrator ke memek/ oppa kok di masukin? Aku kan mau pemotretan....\nLanjut?',"[0, 0, 0, 0, 1, 0, 0]","The text contains explicit sexual descriptions and vulgar terminology regarding sexual acts and body parts (vibrator, memek), which violates Indonesia's anti-pornography laws and UU ITE Article 27(1) regarding obscene content."
2,"/peluk badan lu dr belakang; selipin tngan kedalem cd lu/ ngaceng nih yang- /gesekin jari tengah ke bibir memek lu; teken"" klit lu/'","[0, 0, 0, 0, 1, 0, 0]","The text contains explicit descriptions of sexual acts and genitalia using vulgar slang, which constitutes obscene content prohibited under Indonesian regulations on pornography and decency (UU ITE Article 27(1))."
2,ada bumil ga? Jadi pengen ngentotin memek bumil yang binal frontal dan suka ngelonte pas suaminya gaada',"[0, 0, 0, 0, 1, 0, 0]","The text contains explicit sexual language and solicitation involving sexual acts and organs, which violates Indonesia's anti-pornography laws and UU ITE Article 27(1)."
2,ada perek yang imagine nya liar? Yg longrep gak cuma desah doang. Mau gue mainin memeknya. Langsung follback ya',"[0, 0, 0, 1, 1, 0, 0]","The text contains explicit sexual language and solicitation ('mainin memeknya'), violating obscenity standards under UU ITE Article 27(1) (Category 5). It also constitutes sexual harassment through unsolicited advances and demands for interaction (Category 4)."
2,ada perek yang mau dimainin memeknya? Yang longrep ya',"[0, 0, 0, 0, 1, 0, 0]","The text contains explicit sexual references and solicitation of prostitution, which violates Indonesia's anti-pornography laws and UU ITE Article 27(1) regarding obscene content."
2,"cari yeoja yg chara seksi lonte, suka spam pic charanya, yg mau ngentot. Rep / like ya - draxe'","[0, 0, 0, 0, 1, 0, 0]","The text explicitly solicits sexual encounters ('mau ngentot'), uses derogatory terms related to prostitution ('lonte'), and requests sharing of suggestive images. This violates Indonesian regulations regarding pornography and public decency (UU ITE Article 27(1)) under the Sexual & Intimate Content category."
2,cowo yang jago drasex mana? sini ngentot sama adek - luvian',"[0, 0, 0, 0, 1, 0, 0]","The text contains explicit sexual language and vulgar terms ('ngentot', 'drasex') that violate Indonesia's anti-pornography laws and UU ITE Article 27(1). This falls under Sexual & Intimate Content category."
2,daritadi nungging sambil mainin memek sange bgt cuy:(',"[0, 0, 0, 0, 1, 0, 0]","The text contains explicit sexual content with vulgar language describing sexual acts and arousal, which violates Indonesia's anti-pornography laws (UU ITE Article 27(1) and Pornography Law). This falls under Category 5: Sexual & Intimate Content."
2,duh rindu gesekan kontol doi ke memek~',"[0, 0, 0, 0, 1, 0, 0]","The text contains explicit sexual terminology referring to genitalia and describes sexual acts, which violates Indonesian regulations on pornography and obscene content under UU ITE Article 27(1)."
2,jepitin kontol gua pake memek lu sini',"[0, 0, 0, 0, 1, 0, 0]",The text contains explicit sexual content with vulgar language that violates Indonesia's anti-pornography laws and UU ITE Article 27(1) regarding obscene content.
2,lewat kamar kamu liat kamu elusin memek/ heh ngapain itu tangannya? -barom fc',"[0, 0, 0, 1, 1, 0, 0]","The text contains explicit sexual references ('memek', 'elusin') which violates obscenity standards under UU ITE Article 27(1), and constitutes sexual harassment directed at an individual."
2,memek perek pengen di gesekin ke abs cowok nih mhh',"[0, 0, 0, 0, 1, 0, 0]","The text contains explicit sexual content with vulgar language describing sexual acts, which violates Indonesia's anti-pornography laws and UU ITE Article 27(1) regarding obscene content."
