Label,Tweet,labels,reasoning
2,"- Dia sendiri yang ngiklanin promo cashback di appnya\n- Penggunaan kode berhasil tapi cashback ga masuk2\n- Bilangnya ada kesalahan pada sistem dan promo sudah berakhir\n\nBodo amat woy kesalahan sistem bukan urusanku, aku hanya ingin cashback 20% yang dijanjikan olehmu:( USER URL","[0, 0, 0, 0, 0, 0, 0]","The text is a personal complaint about a failed cashback promotion, expressing frustration but not containing hate speech, false information, violence, harassment, sexual content, illegal transactions, or threats to national security."
3,- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',"[0, 0, 0, 1, 0, 0, 0]","The text contains a direct personal insult ('bego' meaning stupid) targeting an individual, which falls under harassment and bullying as per UU ITE Article 27(3) on insult and defamation."
2,- kampret kan kalo typo-nya di email kantor ketika gue ngerasa ngetik kata serpong ternyata pas udah ke kirim ga ada ( r ) nya \xf0\x9f\x98\x91',"[0, 0, 0, 0, 0, 0, 0]","The text is a personal anecdote about a typo in a work email, expressing mild frustration. It contains no hate speech, false information, violence, harassment, sexual content, illegal transactions, or threats to national security."
2,"- Mending makan disini lebih murah, buang-buang duit lo ntar juga jadi tai.""\n\nAtau gak si A beli barang murah, terus si B komen ""Ih kok lo beli disitu sih, kan murah pasti bahannya gak bagus.""\n\nLalu, si B secara gak langsung dan gak merasa udah nyakitin hati si A dengan perkataan'","[0, 0, 0, 1, 0, 0, 0]","The text describes scenarios of indirect insults and belittling comments that could be considered harassment or bullying, as they humiliate and hurt someone's feelings, violating norms of respectful communication."
2,/biarin oppa masukim vibrator ke memek/ oppa kok di masukin? Aku kan mau pemotretan....\nLanjut?',"[0, 0, 0, 0, 1, 0, 0]","The text contains explicit sexual language describing the insertion of a vibrator, which falls under sexual and intimate content prohibited by Indonesia's Pornography Law and UU ITE Article 27(1)."
2,"/peluk badan lu dr belakang; selipin tngan kedalem cd lu/ ngaceng nih yang- /gesekin jari tengah ke bibir memek lu; teken"" klit lu/'","[0, 0, 0, 0, 1, 0, 0]","The text contains explicit sexual language describing intimate physical acts, which violates Indonesia's strict anti-pornography laws and UU ITE Article 27(1)."
2,ada bumil ga? Jadi pengen ngentotin memek bumil yang binal frontal dan suka ngelonte pas suaminya gaada',"[0, 0, 0, 0, 1, 0, 0]","The text contains explicit sexual language and solicitation, which violates Indonesia's anti-pornography laws and UU ITE Article 27(1) regarding sexual content."
2,ada perek yang imagine nya liar? Yg longrep gak cuma desah doang. Mau gue mainin memeknya. Langsung follback ya',"[0, 0, 0, 0, 1, 0, 0]","The text contains explicit sexual solicitation and language ('mainin memeknya'), which violates Indonesia's anti-pornography laws and UU ITE Article 27(1) regarding sexual content."
2,ada perek yang mau dimainin memeknya? Yang longrep ya',"[0, 0, 0, 0, 1, 0, 0]","The text contains explicit sexual solicitation and slang for female genitalia, which violates Indonesia's strict anti-pornography laws and norms against obscene content."
2,"cari yeoja yg chara seksi lonte, suka spam pic charanya, yg mau ngentot. Rep / like ya - draxe'","[0, 0, 0, 0, 1, 0, 0]","The text explicitly solicits sexual activity ('ngentot') and describes a character with sexual attributes ('seksi lonte'), which falls under sexual and intimate content prohibited by Indonesia's Pornography Law and UU ITE Article 27(1)."
