source_index,word,category
0,bodo amat,低俗色情
1,bego,低俗色情
2,kampret,低俗色情
3,tai,低俗色情
4,memek,低俗色情
4,vibrator,低俗色情
5,peluk badan lu dr belakang,低俗色情
5,selipin tngan kedalem cd lu,低俗色情
5,ngaceng,低俗色情
5,gesekin jari tengah ke bibir memek lu,低俗色情
5,teken klit lu,低俗色情
6,ngentotin,低俗色情
6,memek,低俗色情
6,ngelonte,低俗色情
7,memeknya,低俗色情
7,mainin,低俗色情
8,memeknya,低俗色情
8,longrep,低俗色情
9,seksi,低俗色情
9,lonte,低俗色情
9,ngentot,低俗色情
10,ngentot,低俗色情
10,adek,低俗色情
11,nungging,低俗色情
11,mainin memek,低俗色情
11,sange,低俗色情
11,cuy,低俗色情
12,kontol,低俗色情
12,memek,低俗色情
13,kontol,低俗色情
13,memek,低俗色情
14,memek,低俗色情
15,memek,低俗色情
15,gesekin,低俗色情
16,seksi,低俗色情
16,ngentot,低俗色情
16,bule',涉敏
17,gesekin memek,低俗色情
18,memek,低俗色情
18,jilatin klitnya,低俗色情
19,memek,低俗色情
23,goblok,低俗色情
23,belaga budek,涉敏
23,belaga pilon,涉敏
25,anjing,低俗色情
25,babi,低俗色情
28,kunyuk,涉敏
28,pengkhianat,涉政
28,penghancur bangsa,涉政
29,ngentot,低俗色情
29,kentut,低俗色情
30,gembel,低俗色情
31,iblis la'natilloh 'alaih,宗教
32,mesum,低俗色情
32,kunyuk,低俗色情
32,lacur,低俗色情
33,monyet,涉敏
35,anjir,低俗色情
38,brengsek,低俗色情
39,bacot,低俗色情
39,tolol,低俗色情
39,anjing,低俗色情
40,bego,低俗色情
44,suara monyet,涉敏
46,anjing,低俗色情
46,ngentot,低俗色情
46,gampar,暴力恐怖
49,bodoh,低俗色情
49,dungu,低俗色情
49,idiot,低俗色情
53,anjir,低俗色情
54,ngentot,低俗色情
54,hoot,低俗色情
58,bodoh,低俗色情
58,dungu,低俗色情
58,idiot,低俗色情
59,gembel,低俗色情
59,otaknya murah,低俗色情
61,bangke,低俗色情
65,freakin',低俗色情
66,monyet,涉敏
67,monyet,涉敏
68,taiiii,低俗色情
68,budek,低俗色情
68,taiiiii,低俗色情
72,orang gila,涉敏
72,gila gila gila gila gila,涉敏
73,orang gila,涉敏
75,bangsat,低俗色情
75,bajingan,低俗色情
76,jakanjing,低俗色情
76,bacot,低俗色情
77,fwb,低俗色情
77,ngentot,低俗色情
77,foreplay,低俗色情
77,tai,低俗色情
78,nguntungin,低俗色情
78,ngentot,低俗色情
78,sembelih,暴力恐怖
79,temanmakanteman,价值观
82,death threat,暴力恐怖
82,tai,低俗色情
82,sial,低俗色情
82,jorok,低俗色情
83,asu,低俗色情
84,tai,低俗色情
85,stalk,涉敏
85,bodo,低俗色情
86,anjing,低俗色情
88,bencong,涉敏
88,banci,涉敏
88,bacot,低俗色情
88,jelek,低俗色情
89,udik,低俗色情
89,lu',低俗色情
90,bangke,低俗色情
90,parbet,低俗色情
90,njirrr,低俗色情
90,chuw',低俗色情
95,dsar orng udik,涉敏
95,buang tai,低俗色情
96,kampret,低俗色情
96,tai,低俗色情
97,babi,低俗色情
98,anjirr,低俗色情
98,asu,低俗色情
99,kampret,低俗色情
99,goblog,低俗色情
99,bahlul,低俗色情
99,cebong,涉政
99,mati sengsara di adzab sama allah,宗教
101,kontol,低俗色情
101,gede,低俗色情
102,bajingan anjing,低俗色情
102,babi goblog,低俗色情
103,kampret,低俗色情
103,gembel,低俗色情
104,asbun,低俗色情
104,ngawur,低俗色情
104,gembel,低俗色情
105,kunyuk,低俗色情
106,kunyuk,低俗色情
108,bego,低俗色情
109,banci,涉敏
110,anjing,低俗色情
112,anjir,低俗色情
113,sarap,低俗色情
114,selimutin,低俗色情
116,kunyuk,低俗色情
116,pecundang,低俗色情
117,kampret,低俗色情
117,songong,低俗色情
117,penci jidat,暴力恐怖
118,ngentot,低俗色情
119,tai,低俗色情
120,kampret,低俗色情
120,212,涉政
121,bajingan,低俗色情
122,bangsat,低俗色情
122,bodoh,低俗色情
122,tolol,低俗色情
122,bajingan,低俗色情
122,tengik,低俗色情
123,bodo,低俗色情
123,amat,低俗色情
124,babi,低俗色情
124,anjinggg,低俗色情
125,mampus,低俗色情
125,gembel,低俗色情
125,bodoh,低俗色情
126,banci,低俗色情
127,kunyuk,低俗色情
128,bangke,低俗色情
128,luh,低俗色情
129,bangke,低俗色情
130,bego,低俗色情
131,babi,低俗色情
131,tak berotak,低俗色情
133,memek,低俗色情
134,muncratnya,低俗色情
134,memek,低俗色情
136,bacot,低俗色情
138,brengsek,低俗色情
139,jelek,低俗色情
139,goblog,低俗色情
140,goblok,低俗色情
142,memek,低俗色情
142,croot,低俗色情
143,gembel,低俗色情
144,bego,低俗色情
144,urus lah,低俗色情
145,digauli,低俗色情
145,kencing onta,低俗色情
145,tai babi,低俗色情
146,tolol,涉敏
146,buta,涉敏
146,laknat,宗教
146,cacian,涉敏
146,disrespect,涉敏
146,kasihan ya org indo,涉敏
146,sekolah subsidi,涉敏
146,ilmu abal2,涉敏
147,kunyuk,低俗色情
147,ngembat,低俗色情
148,nyet,低俗色情
148,domba idiot,低俗色情
150,brengsek,低俗色情
153,kunyuk,低俗色情
153,nyinyir,低俗色情
156,bangsul,低俗色情
157,tolol,低俗色情
157,pengecut,低俗色情
158,jilatin,低俗色情
158,memek,低俗色情
160,bajingan,低俗色情
161,kunyuk,低俗色情
161,jokowi,涉政
162,kunyuk,低俗色情
162,bacot,低俗色情
163,anjir,低俗色情
164,alay,低俗色情
165,bacot,低俗色情
165,bat,低俗色情
165,bgst,低俗色情
169,anjir,低俗色情
171,asu,低俗色情
172,asw,低俗色情
173,anjir,低俗色情
174,norak,低俗色情
174,gatau diri,低俗色情
174,udik,低俗色情
175,babi,涉敏
175,gelut,暴力恐怖
176,tolol,低俗色情
177,bolot,低俗色情
177,puser,低俗色情
178,tai,低俗色情
179,bodo amat,低俗色情
181,munafiqun,宗教
181,cabul,低俗色情
181,jijik,低俗色情
181,jilat memek,低俗色情
181,memek bosok,低俗色情
183,kunyuk,低俗色情
184,kampungan,低俗色情
184,alay,低俗色情
185,kampungan,低俗色情
186,tai asu,低俗色情
189,tolol,低俗色情
189,idiot,低俗色情
189,stupid,低俗色情
190,monyet,涉敏
191,babi,涉敏
191,apakkk,低俗色情
192,brengsek,低俗色情
192,mampus,暴力恐怖
193,kontol,低俗色情
193,bule,涉敏
194,bego,低俗色情
196,anjing,涉敏
196,#bangsaanjing,涉敏
197,banci,低俗色情
197,mesum,低俗色情
197,munusia munafik,涉敏
199,nembak,暴力恐怖
200,kontol,低俗色情
200,muka kek memek,低俗色情
200,org tua lu kek monyet,涉敏
200,agama lu aje agama kontol,宗教
202,anjir,低俗色情
203,goblok,低俗色情
204,gua,低俗色情
204,budek,低俗色情
206,ditidurin,低俗色情
208,kunyuk,低俗色情
208,d sapu,暴力恐怖
209,bego,低俗色情
209,goblog,低俗色情
210,tai kucing,低俗色情
210,pengecut,涉敏
211,memek,低俗色情
211,pecun,低俗色情
213,bangke,低俗色情
214,bajingan,低俗色情
215,mampus,低俗色情
215,kunyuk,低俗色情
217,tolol,低俗色情
218,ketololan,低俗色情
218,tolol,低俗色情
220,tolol,低俗色情
221,udik,低俗色情
222,monyet,低俗色情
224,anjing,低俗色情
224,brengsek,低俗色情
224,namparinnnnn,暴力恐怖
225,tai,低俗色情
226,tolol,低俗色情
228,bangke,低俗色情
229,anjir,低俗色情
230,jilat memek,低俗色情
231,goblok,低俗色情
232,anjir,低俗色情
233,anjir,低俗色情
234,banci,低俗色情
234,bangke,低俗色情
236,kampret,低俗色情
236,luh,低俗色情
239,anjir,低俗色情
240,asu,低俗色情
241,kunyuk,低俗色情
243,tolol,低俗色情
244,kresten,宗教
244,penyembah bangke,宗教
244,yesus busuk,宗教
244,bela kresten yg bodoh,宗教
246,bau bangke,低俗色情
247,bencong,涉敏
248,udik,低俗色情
249,anak jalanan,涉敏
249,anak gembel,涉敏
250,goblok,低俗色情
250,tolol,低俗色情
251,sinting,低俗色情
252,tai ayam,低俗色情
253,anjir,低俗色情
254,anjir,低俗色情
257,bacot,低俗色情
258,bacot,低俗色情
258,cocot,低俗色情
258,bedebah,低俗色情
258,kacung,低俗色情
259,goblok,低俗色情
259,sampah,低俗色情
261,banci,低俗色情
262,bangke,低俗色情
263,setan,宗教
265,bolot,低俗色情
266,brengsek,低俗色情
267,ngentot,低俗色情
268,ngentot,低俗色情
269,korban cuci otak,涉敏
269,kunyuk,低俗色情
270,udik,低俗色情
271,tolol-tololin,低俗色情
271,anak orang,涉敏
272,tolol,低俗色情
272,guoblog,低俗色情
273,bajingan,低俗色情
274,asu,低俗色情
275,goblog,低俗色情
276,sarap,低俗色情
277,garunsang,低俗色情
277,pecun,低俗色情
280,kampret,低俗色情
281,kampret,低俗色情
282,kampret,低俗色情
283,kampret,涉敏
283,hti,涉政
283,killafah,宗教
284,ngentot,低俗色情
284,memek,低俗色情
285,ngentot,低俗色情
285,kontol,低俗色情
285,urut,低俗色情
286,kontolku,低俗色情
286,ngentot,低俗色情
287,memek,低俗色情
288,isis,暴力恐怖
288,burka,宗教
288,peperangan,暴力恐怖
288,surga,宗教
288,gembel warnet,涉敏
289,tolol,低俗色情
289,pecat,涉政
290,sompret,低俗色情
290,nikah mulu,低俗色情
290,ngerayu nyah,低俗色情
291,songong,低俗色情
291,bencong,涉敏
292,kampret,低俗色情
293,kampungan,低俗色情
293,norak,低俗色情
294,bencong,涉敏
295,bacot,低俗色情
296,norak,低俗色情
296,kampungan,低俗色情
297,banci,涉敏
298,bangsat,低俗色情
298,taik,低俗色情
298,bego,低俗色情
298,tolol,低俗色情
298,setanalas,低俗色情
298,ndasmu,低俗色情
298,babi,低俗色情
298,anjing,低俗色情
298,monyet,低俗色情
298,pekok,低俗色情
298,cebong,低俗色情
298,kodok,低俗色情
298,katak,低俗色情
299,iblis,宗教
300,kunyuk,低俗色情
300,cecunguk,低俗色情
301,goblog,低俗色情
302,asu,低俗色情
303,monyet,涉敏
304,idiot,低俗色情
305,jilatin memek,低俗色情
305,sini,低俗色情
306,bloon,低俗色情
308,tolol,低俗色情
309,tolol,低俗色情
309,membantai,暴力恐怖
309,menculik,暴力恐怖
309,penjahat internasional,涉政
310,tolol,低俗色情
310,bencong,低俗色情
311,tolol,低俗色情
311,bencong,低俗色情
313,goblok,低俗色情
313,tolol,低俗色情
313,sapi,低俗色情
314,bacot,低俗色情
315,mampus,低俗色情
315,kunyuk,低俗色情
317,bajingan,低俗色情
317,bangsat,低俗色情
318,bajingan,低俗色情
318,tengik,低俗色情
319,goblok,低俗色情
319,anjing,低俗色情
322,bencong,涉敏
323,bajingan,低俗色情
323,penista,宗教
324,bangke,低俗色情
325,anjir,低俗色情
327,kontol,低俗色情
327,memek,低俗色情
328,sakit jiwa,低俗色情
328,banci,低俗色情
329,banci,低俗色情
329,dongo,低俗色情
330,bencong,低俗色情
330,lonte lanang,低俗色情
330,banci,低俗色情
331,banci,涉敏
331,kafir,宗教
331,coli,低俗色情
331,muncrat,低俗色情
331,cong,低俗色情
332,kafir,宗教
332,banci,低俗色情
332,cong,低俗色情
333,pekok,低俗色情
333,asu,低俗色情
333,taik,低俗色情
333,bajingan,低俗色情
333,maling,违法
333,cino,涉敏
335,sarap,低俗色情
335,cewe,低俗色情
337,kampret,低俗色情
337,tolol,低俗色情
337,payah,低俗色情
338,banci,涉敏
338,pengkolan,涉敏
339,bolot,低俗色情
341,goblok,低俗色情
341,bencong,低俗色情
342,anjir,低俗色情
345,pengecut,涉敏
345,goblok,涉敏
345,maling,涉敏
345,banci,涉敏
347,bacot,低俗色情
347,biangkerok,低俗色情
348,asu,低俗色情
349,bodo,低俗色情
349,katotoloyo,低俗色情
350,zonk,低俗色情
350,gembel,低俗色情
350,kecyduk,低俗色情
351,bacot,低俗色情
352,cebong,涉敏
352,kampret,低俗色情
352,mencret,低俗色情
354,bacot,低俗色情
354,ndoweh,低俗色情
355,takbir,宗教
355,alohmubarbar,宗教
355,ayat quran,宗教
355,muslim radicals,宗教
355,lempar bom,暴力恐怖
355,mayat,暴力恐怖
355,tolol tanpa otak,低俗色情
356,babi,低俗色情
357,bajingan,低俗色情
359,kafir,宗教
360,kafir,宗教
360,plonga plongo,低俗色情
360,muke,涉敏
360,banci,低俗色情
360,salon,低俗色情
361,tolol,低俗色情
363,bacot,低俗色情
364,bacot,低俗色情
364,lu,低俗色情
367,kunyuk,低俗色情
368,muka muka pecun,低俗色情
370,anjing,低俗色情
370,kurap,低俗色情
372,anjir,低俗色情
373,idiot,低俗色情
374,budek,低俗色情
374,lu,低俗色情
377,ngentot,低俗色情
378,ngocok memek,低俗色情
379,tolol,低俗色情
380,tolol,低俗色情
381,bolot,低俗色情
382,anak monyet,涉敏
382,sektariannizrm,宗教
382,pemecah belah,涉政
382,kecebong,涉敏
382,makar,涉政
383,goblok,低俗色情
383,malu,价值观
384,tolol,低俗色情
384,kafir,宗教
385,bacot,低俗色情
386,brengsek,低俗色情
387,idiot,低俗色情
387,iyain aja,低俗色情
388,bajingan,低俗色情
389,memek,低俗色情
390,anjir,低俗色情
391,sarap,低俗色情
392,bajingan,低俗色情
393,tai,低俗色情
395,kampret,低俗色情
395,otak micin,涉敏
396,kafir anjing,宗教
396,tolol,低俗色情
396,sperma cebong,低俗色情
396,copet,违法
396,bacot,低俗色情
396,amplas dulu gih muka pake parutan,暴力恐怖
396,babi,宗教
399,bodo,低俗色情
401,ngentot,低俗色情
401,lobang pantatmu,低俗色情
402,ngentot,低俗色情
402,lobang pantatnya,低俗色情
402,pantat lobang perem,低俗色情
403,budek,低俗色情
404,brengsek,低俗色情
404,sara,涉敏
405,bejad,低俗色情
406,bajingan,低俗色情
408,preman kampungan,涉敏
408,monyong putih,涉敏
408,enek,低俗色情
409,bajingan,低俗色情
409,setan,宗教
409,iblis,宗教
409,binatang mesum,低俗色情
410,bangke,低俗色情
411,tolol,低俗色情
414,banci,涉敏
415,udik,低俗色情
418,kunyuk,低俗色情
420,asu,低俗色情
421,banci,低俗色情
423,idiot,低俗色情
424,tai,低俗色情
424,anjing,低俗色情
425,indon,涉敏
425,babi,宗教
425,brengsek,低俗色情
427,brengsek,低俗色情
427,dungu,低俗色情
427,onta busuk,低俗色情
427,sampah,低俗色情
429,beruk,低俗色情
429,kampungan,涉敏
430,bajingan,低俗色情
431,kampungan,涉政
431,menggelikan,涉政
432,kontol,低俗色情
432,ngewe,低俗色情
433,budek,低俗色情
434,memek,低俗色情
435,memek,低俗色情
438,monyet,涉敏
438,anjing,涉敏
439,asu,低俗色情
440,tolol,低俗色情
441,tolol,低俗色情
442,memek,低俗色情
442,gandoskui,低俗色情
443,bangke,低俗色情
443,busuk,低俗色情
444,fuck,低俗色情
445,kampret,低俗色情
446,bangke,低俗色情
447,bangke,低俗色情
448,tolol,低俗色情
450,anjir,低俗色情
451,anjir,低俗色情
453,jancok,低俗色情
454,udik,低俗色情
455,monyet,低俗色情
455,kampret,低俗色情
457,gila,低俗色情
458,memek,低俗色情
459,memek,低俗色情
460,kunyuk,低俗色情
461,bacot,低俗色情
462,anjir,低俗色情
462,setan,宗教
463,perek,低俗色情
464,bejad,低俗色情
467,anjir,低俗色情
468,dikatain,低俗色情
468,monyet,低俗色情
470,perek,低俗色情
471,kunyuk,低俗色情
