Label,Tweet,labels,reasoning
2,"- Dia sendiri yang ngiklanin promo cashback di appnya\n- Penggunaan kode berhasil tapi cashback ga masuk2\n- Bilangnya ada kesalahan pada sistem dan promo sudah berakhir\n\nBodo amat woy kesalahan sistem bukan urusanku, aku hanya ingin cashback 20% yang dijanjikan olehmu:( USER URL","[0, 0, 0, 1, 0, 0, 0]","The text expresses frustration about a promotional cashback issue, but includes a mild insult ('Bodo amat woy') directed at the company/service, which could be interpreted as harassment or public shaming under local norms, though not severe enough for other categories."
3,- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',"[0, 0, 0, 1, 0, 0, 0]","The text contains personal insults ('cowok bego' - stupid guy) directed at an individual, which falls under harassment and bullying, but does not target a protected group (SARA), spread false information, incite violence, contain sexual content, involve illegal transactions, or threaten national security."
2,- kampret kan kalo typo-nya di email kantor ketika gue ngerasa ngetik kata serpong ternyata pas udah ke kirim ga ada ( r ) nya \xf0\x9f\x98\x91',"[0, 0, 0, 0, 0, 0, 0]","The text is a personal anecdote about a typing error in an email, with no elements of hate speech, false information, violence, harassment, sexual content, illegal transactions, or threats to national security."
2,"- Mending makan disini lebih murah, buang-buang duit lo ntar juga jadi tai.""\n\nAtau gak si A beli barang murah, terus si B komen ""Ih kok lo beli disitu sih, kan murah pasti bahannya gak bagus.""\n\nLalu, si B secara gak langsung dan gak merasa udah nyakitin hati si A dengan perkataan'","[0, 0, 0, 1, 0, 0, 0]","The text describes a scenario where person B's comment about person A's purchase being cheap and potentially low-quality is perceived as hurtful, which falls under harassment or emotional harm, but does not meet the threshold for hate speech, false information, violence, sexual content, illegal transactions, or national security threats."
2,/biarin oppa masukim vibrator ke memek/ oppa kok di masukin? Aku kan mau pemotretan....\nLanjut?',"[0, 0, 0, 0, 1, 0, 0]","The text contains explicit sexual content involving a vibrator and intimate body parts, which violates Indonesia's strict anti-pornography laws and may be considered obscene under local norms."
2,"/peluk badan lu dr belakang; selipin tngan kedalem cd lu/ ngaceng nih yang- /gesekin jari tengah ke bibir memek lu; teken"" klit lu/'","[0, 0, 0, 0, 1, 0, 0]","The text contains explicit sexual content and descriptions of intimate acts, which violates Indonesia's strict anti-pornography laws and may be considered obscene under local norms."
2,ada bumil ga? Jadi pengen ngentotin memek bumil yang binal frontal dan suka ngelonte pas suaminya gaada',"[0, 0, 0, 0, 1, 0, 0]","The text contains explicit sexual content targeting a pregnant woman, which violates Indonesia's strict anti-pornography laws and is considered obscene under local norms."
2,ada perek yang imagine nya liar? Yg longrep gak cuma desah doang. Mau gue mainin memeknya. Langsung follback ya',"[0, 0, 0, 0, 1, 0, 0]","The text contains explicit sexual content and objectification, which violates Indonesia's strict anti-pornography laws and norms against obscene material."
2,ada perek yang mau dimainin memeknya? Yang longrep ya',"[0, 0, 0, 0, 1, 0, 0]","The text contains explicit sexual solicitation ('memek' is a vulgar Indonesian term for female genitalia) and references to sexual acts, which violates Indonesia's strict anti-pornography laws and UU ITE Article 27(1) on sexual content."
2,"cari yeoja yg chara seksi lonte, suka spam pic charanya, yg mau ngentot. Rep / like ya - draxe'","[0, 0, 0, 0, 1, 0, 0]","The text solicits sexual content and uses explicit language ('ngentot', 'lonte'), which violates Indonesia's strict anti-pornography laws and may be considered obscene under local norms."
2,cowo yang jago drasex mana? sini ngentot sama adek - luvian',"[0, 0, 0, 0, 1, 0, 0]","The text contains explicit sexual solicitation and vulgar language, which violates Indonesia's strict anti-pornography laws and norms against obscene content."
