Label,Tweet,labels,reasoning
2,"- Dia sendiri yang ngiklanin promo cashback di appnya\n- Penggunaan kode berhasil tapi cashback ga masuk2\n- Bilangnya ada kesalahan pada sistem dan promo sudah berakhir\n\nBodo amat woy kesalahan sistem bukan urusanku, aku hanya ingin cashback 20% yang dijanjikan olehmu:( USER URL","[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-haiku-4-5-20251001 under group default (distributor) (request id: 20260408072431896326534seHUhwG)', 'type': 'new_api_error'}}"
3,- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',"[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-haiku-4-5-20251001 under group default (distributor) (request id: 202604080724321258827093OGwwaxC)', 'type': 'new_api_error'}}"
2,- kampret kan kalo typo-nya di email kantor ketika gue ngerasa ngetik kata serpong ternyata pas udah ke kirim ga ada ( r ) nya \xf0\x9f\x98\x91',"[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-haiku-4-5-20251001 under group default (distributor) (request id: 20260408072432675901178Q9ZXPdA3)', 'type': 'new_api_error'}}"
2,"- Mending makan disini lebih murah, buang-buang duit lo ntar juga jadi tai.""\n\nAtau gak si A beli barang murah, terus si B komen ""Ih kok lo beli disitu sih, kan murah pasti bahannya gak bagus.""\n\nLalu, si B secara gak langsung dan gak merasa udah nyakitin hati si A dengan perkataan'","[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-haiku-4-5-20251001 under group default (distributor) (request id: 2026040807243213050133IGGWsg5P)', 'type': 'new_api_error'}}"
2,/biarin oppa masukim vibrator ke memek/ oppa kok di masukin? Aku kan mau pemotretan....\nLanjut?',"[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-haiku-4-5-20251001 under group default (distributor) (request id: 20260408072432510829563nP4MjJPs)', 'type': 'new_api_error'}}"
2,"/peluk badan lu dr belakang; selipin tngan kedalem cd lu/ ngaceng nih yang- /gesekin jari tengah ke bibir memek lu; teken"" klit lu/'","[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-haiku-4-5-20251001 under group default (distributor) (request id: 20260408072432341916078yqvapbfQ)', 'type': 'new_api_error'}}"
2,ada bumil ga? Jadi pengen ngentotin memek bumil yang binal frontal dan suka ngelonte pas suaminya gaada',"[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-haiku-4-5-20251001 under group default (distributor) (request id: 20260408072432135401230KhpziZpT)', 'type': 'new_api_error'}}"
2,ada perek yang imagine nya liar? Yg longrep gak cuma desah doang. Mau gue mainin memeknya. Langsung follback ya',"[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-haiku-4-5-20251001 under group default (distributor) (request id: 20260408072432687774171YHeeV5hP)', 'type': 'new_api_error'}}"
2,ada perek yang mau dimainin memeknya? Yang longrep ya',"[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-haiku-4-5-20251001 under group default (distributor) (request id: 2026040807243255909543U5oEwVzG)', 'type': 'new_api_error'}}"
2,"cari yeoja yg chara seksi lonte, suka spam pic charanya, yg mau ngentot. Rep / like ya - draxe'","[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-haiku-4-5-20251001 under group default (distributor) (request id: 20260408072432726899154yS82QAxN)', 'type': 'new_api_error'}}"
2,cowo yang jago drasex mana? sini ngentot sama adek - luvian',"[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-haiku-4-5-20251001 under group default (distributor) (request id: 20260408072432493874576mr3END1x)', 'type': 'new_api_error'}}"
2,daritadi nungging sambil mainin memek sange bgt cuy:(',"[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-haiku-4-5-20251001 under group default (distributor) (request id: 20260408072432390940581Ea2hk5aS)', 'type': 'new_api_error'}}"
2,duh rindu gesekan kontol doi ke memek~',"[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-haiku-4-5-20251001 under group default (distributor) (request id: 20260408072433815171352k0qJ4J0U)', 'type': 'new_api_error'}}"
2,jepitin kontol gua pake memek lu sini',"[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-haiku-4-5-20251001 under group default (distributor) (request id: 20260408072431413889247WlVH0ZwW)', 'type': 'new_api_error'}}"
2,lewat kamar kamu liat kamu elusin memek/ heh ngapain itu tangannya? -barom fc',"[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-haiku-4-5-20251001 under group default (distributor) (request id: 20260408072432262955115Wvlys3hn)', 'type': 'new_api_error'}}"
2,memek perek pengen di gesekin ke abs cowok nih mhh',"[0, 0, 0, 0, 0, 0, 0]","API error: Error code: 503 - {'error': {'code': 'model_not_found', 'message': 'No available channel for model claude-haiku-4-5-20251001 under group default (distributor) (request id: 202604080724318182506449byKuM5s)', 'type': 'new_api_error'}}"
