text,category,misogyny,target
@AhmadMoussaly @DimaSadek اي نحن ما منقبلها صرماية بإجرنا ...مبروك.ع راسكم,discredit,misogyny,active
@berrynawal نوال شو قصتك كل يوم بتاكلي قتله شو صاير معك شي اليوم طمنينا عنك .,none,none,none
@DimaSadek انشالله بيقبر قلبك عن قريب ...يافهيمة عصرك,damning,misogyny,active
@DimaSadek @LBCI_NEWS @JeanFeghali يسلم لسانك من مصر يا ديما نحن معك,none,none,none
"@RammalNaima @DimaSadek من بجيب الحشيش عبيروت ؟ 
بعلبك يعني انتو",none,none,none
@DimaSadek فعلاً الثورة أنثى، برافو ديما,none,none,none
@berrynawal يخرب بيتك حبيتك,none,none,none
@DimaSadek انك بكل تواضع سفيهة منحطة عديمة المبدأ، ويجوز فيك القول بل يجب انك وضيعة، لست إلا مأمورة غبية تحتاجين ال… https://t.co/B68FXaFNex,discredit,misogyny,active
@DimaSadek ضبي لسانك احسنلك ��,discredit,misogyny,active
@DimaSadek يا حمارة يا صهيونية يا عاهرة هؤلاء بفضلهم انت لست في خضن تكفيري الا اذا كنت تحبين النغير,discredit,misogyny,active
@DimaSadek كلنا #ديما_صادق ، #لبنان_ينتفص #انتو_احلى_عالم,none,none,none
RT @AkramHamade: إمرأه بكل رجالهن و زعمائهم. كلمة الحق لما تفعل فعلها بفئه ظالميه مستعبده. كلنا معك. انت بتقوينا #كلنا_ديما_صادق @DimaSadek,none,none,none
@Jessicaazar آه يا حنونة انت    ال ١٣ يوم من قطع الطرقات ما ابكتكي المهم ان تبكي متأخرة من ان لا تبكي,none,none,none
@DimaSadek ديما لحزب وقع طيارة لأهلك بقصد إسرائيلي,discredit,misogyny,active
@berrynawal ابكي بترتاحي,stereotyping & objectification,misogyny,active
@DimaSadek السيد يا حمارة,discredit,misogyny,active
@DimaSadek انشا الله ليقبر قلبك,damning,misogyny,active
@RemmyDerbass @DimaSadek بتاخدي العقل، الله يحميكي ويعطيكي العافية,none,none,none
@bird99_b @DimaSadek بس يا بهلة,discredit,misogyny,active
@yumnafawaz لو حدا غيرك يلّي حاطت التغريدة كان ممكن فكّر اتأكّد من صحّة الخبر. بس إنت شهادتك مجروحة بالحقد الأعمى على #حزب_الله,none,none,none
@DimaSadek انت دائما تمثلين المرأة الحرة التي تتمتع بالنقد البناء والتي تدافعين عن قضايا هذا المجتمع. فتحية لك و لكل حر مستقل في هذا البلد.,none,none,none
@JadHSaad1 @DimaSadek ما فهمانة هالمخلوقة كيف بيعتبروها صحفية,none,none,none
@DimaSadek يا مريضة موتي,discredit,misogyny,active
"@DimaSadek قال لن يسقط العهد يا حمارة 
#ديما_الواطية �",discredit,misogyny,active
@berrynawal لما تكوني عمتشتغلي ب قناة فتنويه واعلام موجه ضد (بيئتك ) فئة معينه ، بدك تتحملي ردود الفعل . عفكرا كنت مفكرك احسن من هيك,none,none,none
@DimaSadek انشالله بيقبرك إنتي وعيلتك�,damning,misogyny,active
@DimaSadek انا ضد تناول الأشخاص بعائلاتهم، معيب هل شعار برأي ... خلونا نخلي اللغة حضارية,none,none,none
@DimaSadek قال لا نؤيد حاجي تحريف يا #ديما_الواطية,discredit,misogyny,active
@DimaSadek يلعن شرفك بصباطي يا شرشوحه,damning,misogyny,active
@yumnafawaz يا ريت اكلتي شي كف عا نيعك,threat of violence,misogyny,active
@DimaSadek اولاً الاحترام واجب السيد حسن غصبن عن رأسك مش حسن لانك إعلامية بدون احترام,discredit,misogyny,active
@berrynawal سلامة قلبكن,none,none,none
@DimaSadek Bravo يا شاطرة، الله يحمي لبنان,none,none,none
@DimaSadek ان شاء الله بيقبرك وبنرتاح منك. اذا السيد خيفان هههه. من اسرائيل  ما خفنا منا بدك نخاف منكون يا صعاليك.… https://t.co/vNatwW6bEH,damning,misogyny,active
@yumnafawaz إنت وحدة بلا أخلاق وبلا أدب.عم تتمسخري على رئيس الجمهورية. عندو ولاد قد بييك وإمك. تقبلي حدن يتمسخر على… https://t.co/Ibl58ekr8L,discredit,misogyny,active
@DimaSadek انا ضد الاسفاف والتناول الشخصي وضد فائض القوه وعدم سماع مطالب الناس.ووجعها والرد على الغضب بالعنف والقوه وصم الاذان ِ,none,none,none
نانسي السبع من ساحة رياض الصلح: اشكال يحصل الآن علماً انه لم يأتِ احد على ذكر الامين العام لحزب الله وهناك كلام على ان هذا الامر مُحضَّر.,none,none,none
@DimaSadek ولي الله يلعن لي قال لأمك مبارك ما اجاكي��‍♀️��‍♀️,damning,misogyny,active
@berrynawal ما ابشعك,stereotyping & objectification,misogyny,active
@yumnafawaz @yumnafawaz  انتبهي فقد عاد المسعورين,none,none,none
"@loulouttew17 @Jessicaazar
ما خصنا هول رفقاتك �",none,none,none
@yumnafawaz @liliandaoud مناطق غالبيه مسلمه ليست شيعيه ولا دين آخر ! فلم يسمحوا لهم بالتعبير عن رأيهم؟,none,none,none
"@yumnafawaz ما اذكاكي!!!!!!! اووووووف بتعرفي بالمونتاج!!!! واااااو شو خل الثقافي!!!!!! مش شعر بدنا!!!.
طيب خلص يلا رجعي على الخسة.",discredit,misogyny,active
@DimaSadek خلص ما تزعلي انتِ ايقونة الثورة�,none,none,none
@RoroHMostafa1 @ahmadja21216444 @DimaSadek خلينالك لهضامي إلك ولثورة,none,none,none
@DimaSadek لا تكون طريق امك ومش عارفين ابديش زفر,none,none,none
@MwsAmal @yumnafawaz يبعتلك قص لسانك بلا اخلاق,damning,misogyny,active
@DimaSadek اللهم انصر الشعب اللبناني ؤالله يحي اللبنان العطيم***,none,none,none
@DimaSadek @josephinedeeb @AkikiJoyce يا بلا أخلاق العونيين دافعوا عنّا الإعتداء من شخص واحد بس انت بلا ضمير بتعممي ��,discredit,misogyny,active
"@DimaSadek انتي سخيفة وحاقدة وكتلة من العقد
ربما لانؤيد سكوت النائب حسن في هذا الموضوع ولكن الى الان لم تأتي على سيرة احد من الفاسدين",discredit,misogyny,active
"@jf_8o @DimaSadek انتقدته فقاموا عليها
يقولون هو ليس مشارك مع الاحزاب اللي ضيعت البلد بالوقت اللي هو اصل البلا كله",none,none,none
@DimaSadek صباطو اشرف منك ���,dominance,misogyny,active
"@DimaSadek عقبال ما يتعبط فيكي قد هيدا على مية مرة و يجعلكك و ما تعرفي راسك من كعب إجريكي
#ديما_الواطية",discredit,misogyny,active
@Linalina961 @DimaSadek السيد حسن نصرالله يا حقيرة,discredit,misogyny,active
"@lamatweetsback @dimasadekwateye @DimaSadek و انتي وقحة و وحقيرة و بتسوي صرماية لو مش عارفة هيدا زوجها للواطية
فكرتك عالم طلعتي طرطورة",discredit,misogyny,active
@DimaSadek انشالله بيقبر قلبك قريبا,damning,misogyny,active
"@joey_gs__ @DimaSadek ما خص امها ، نحنا الشعب المحترم مش متلها 
هيي كل شي ممنوع بس عالتيار وحزب الله مسموح ومكتر 
فشرت نكون متلها��‍♀️",none,none,none
@DimaSadek صحيح انك #ديما_الواطية,discredit,misogyny,active
@DimaSadek @AhmadBallout15 الله يلعنك بلا شرف,damning,misogyny,active
@NicoleHajal @LbciLebanon @DimaSadek الله يرحم البطن يلي حملك,none,none,none
"@berrynawal سلامة قلبك 
كللن يعني كللن و انتِ اشرف منن...
مبارح @AkikiJoyce  و اليوم انتِ لأنكن اقوى من ايا شي❤… https://t.co/5x3sWBCon6",none,none,none
"@DimaSadek حدا يبهدلها عني أنا اكتفيت .. حأستفرغ من وجودي على صفحتها 
#ديما_الواطية",discredit,misogyny,active
@m_altahan @NadimKoteich @DimaSadek كتير منيح، صارو يعرفو الناس القوادم ليش في ناس عمتسب فيها للآدمية... فعلا أذكياء... ���,none,none,none
@DimaSadek معليه روحي عند يلي بيشبهوكي مين مانعك ، اسرائيل و امريكا فاتحة احضانها لامثالك روحي لعندهم ، و اذا بدك ب… https://t.co/MJWQZZzr8Q,none,none,none
@DimaSadek انزلي انت والكلب جوزك والكلاب الصغار اللي عندك بالبيت حاج تضحي بولاد العالم #ديما_الواطية,discredit,misogyny,active
@berrynawal طبشوكي الصباط على عينك بتعرفي ليشششش؟؟؟؟ عشان شفتي النمرة ��,threat of violence,misogyny,active
@timakanso @alexi_naser @DimaSadek الفيديو صحيح، وكتير غلط اللي انعمل، ديما ما صدقت شافت شي وصارت متل النور ع الكبة,none,none,none
"@DimaSadek انت قدن كلن واشرف واصدق منهم.
ديما كلنا منحبك .",none,none,none
@DimaSadek وانت تركي السفارات,none,none,none
@DimaSadek رح تموتي قد مافي جواتك سم,discredit,misogyny,active
@Jessicaazar بشكر الله إلي جيلي ما كان واعي ع هيك فخامة.,none,none,none
"@DimaSadek نصرالله تاج راسنا والشمس طالعة رالناس قاشعة مين هو الفاسد مش ناطر وحدة فاسدة ومرتزقة مثلك تنعتوا بالفساد
 وحدة غبية روحي انضبي",discredit,misogyny,active
@DimaSadek السيد اشرف رجل في العالم كلو اما الباقيين ماخصني فيهم شيلو السيد من هالمعادلة,none,none,none
@GJKLMN557 @KaramRachel @DimaSadek كلك زوق,none,none,none
"@Rana40752360 @khalil_f8585 @PinkAsteroyd @DimaSadek #ديما_الوضيعة
#ديما_الساروت 
#ديما_الكذابة",discredit,misogyny,active
@DimaSadek الساعات الاخيرة لامثاليك ... ولله ليوصل عواكي لقبرص,threat of violence,misogyny,active
@DimaSadek صديقت الفاسدين,discredit,misogyny,active
"@sayegh_georges @DimaSadek ديما شعرها حلو 
���",none,none,none
"RT @MaharatNews: النساء اللبنانيات في الساحات الامامية فعلا، وأقل في الساحات الافتراضية
للاطلاع على المزيد من الاحصائيات https://t.co/L6w8B…",none,none,none
@berrynawal خلص سكتي بلا هبل,discredit,misogyny,active
@DimaSadek يبدو أن الجوع سيطر عليك الصحيفة وليس الصفيحة,none,none,none
@yumnafawaz يا م نص لسان حاجي تبثي الفتن,stereotyping & objectification,misogyny,active
"@DimaSadek روحي انضبي يا كركمي
تفو عليكي و على اخلاقك",discredit,misogyny,active
@yumnafawaz ايه اكيد بدو يحكي عن النازحين لان هيدي وحدي من المشاكل. بشرفك قليلي قديش دفعينلك لتحكي هل حكي و و حياااة الله ما بخبر حداا�,none,none,none
@yumnafawaz ما ابشعك وما اسخفك,discredit,misogyny,active
@yumnafawaz @Alii_Wehbi يا مشحر شو بهايم ولي هول يا هبلة مخابرات جيش هيدي بقلب السرايا مصورينة لقوي تسوقولا لهل فتنة خافو الله,discredit,misogyny,active
"RT @yumnafawaz: بشرفكن شباب فينا نوقف مسبات المتعلقة بالنساء والأمهات! يعني قي الف مسبة تانية!
#لبنان_ينتفض https://t.co/RYyn85nHql",none,none,none
@berrynawal @NadimKoteich  افهم يا بلا فهم,none,none,none
"نحنا معك لانك صوت حر و بتمثلينا
ديما صادق انسانة حرة وبتقول كلمة الحق تزعل زعران السلطة الحاكمة 
#كلنا_ديما_صادق   @DimaSadek",none,none,none
@DimaSadek انت حثالة من بلادي �,discredit,misogyny,active
@miriam_shahine @DimaSadek عادي ولو خليها عم تعوي  �,discredit,misogyny,active
@yumnafawaz حبيبتي # مبارح جنيت وانا عم بحضرك الله يحميكي شكرا.,none,none,none
"@DimaSadek إذا أردت اكتشاف عقل شخص .. فـ أنظر إليه كيف يحاور من يخالفه الرأي .

 #برنارد_شو

#كلنا_ديما_صادق",none,none,none
@DimaSadek أي حكومة وأي شعب... سماحة السيد اسمو يا محترمة...,none,none,none
@DimaSadek انسانة تافهة ولطالما كنت بوق للفتن,discredit,misogyny,active
"RT @SawsanSawma: @DimaSadek المجد لاقفال تمك�

#بالشمع_الحمر",derailing,misogyny,active
RT @ShabakjiZeinab: @DimaSadek اجر السيد حسن اشرف من راسك.. والحزب بطولو وعرضو مش حيبعت حمودي وعلوشي ليمدحوا السيد بس اذا بدك ببعتلك انا شب…,dominance,misogyny,active
@NicoleHajal ايه خلي الشباب الطيبة المهذبة المشاغبة يفتحلون الطرقات وإلا رح يضطروا يعتصموا بالمطار,none,none,none
"@DimaSadek ساليلي اهلك شو عم بقولوا ثوارك .. عم يهتفوا لصاحبك الحريري 
العما ما اهبلك",discredit,misogyny,active
@DimaSadek يا غبية قال لن نقبل باسقاط العهد ولا نؤيد استقالة الحكومة وعادا لحتى امثالك الاغبية يفهموا يا بهيمة بس طلعتي اغبى من الغبي ��,discredit,misogyny,active
@yumnafawaz @saadhariri على ما يبدو إنو توقعاتك زي توقعات ليلى عبد اللطيف,none,none,none
@DimaSadek @yumnafawaz معقول نزلتو تصورتو وفليتو دغري,none,none,none
@yumnafawaz اين حرية الرأي؟؟؟ كيف بتهيني الناس وتسميهن غنم؟,none,none,none
@meedamine10 @DimaSadek اللي بدق الباب بدو يسمع الجواب،،، رحم الله امرء عرف حده فوقف عنده,none,none,none
@zTeBUwQfuLXDaCO @KSaghieh @DimaSadek هذا أقلية لا تمثل ، لكن من يريد ان يكون فوق الانتقاد عليه ان يقف بمكان الشبهة… https://t.co/nYVl9m0Qnh,none,none,none
"#ديما_الواطية 
#ديما_الواطية 
#ديما_الواطية 
#ديما_الواطية 
#ديما_الواطية 
#ديما_الواطية 
#ديما_الواطية… https://t.co/icoHoqv5CI",discredit,misogyny,active
@berrynawal يا نوال يا نوال خبريني شو كان لون كلساتهم لما صار هالحديث بما انك كنت موجودة,none,none,none
@Jessicaazar مش هيدي يلي سقطت بالانتخابات�,none,none,none
@MTVLebanonNews @aliimortada @DimaSadek @HichamHaddad57 @PaulaYacoubian بري وجبران قعدو سنه يتخانقو على النفط . كل… https://t.co/Im8uCIr9po,none,none,none
@yumnafawaz يا بنت الحرام في طرابلس حصل إطلاق نار من اجل ازالة صورة وفي جل الديب حصل نفس الأمر يعني سر السبب لتركيزك على النبطية يا صرمة,discredit,misogyny,active
@DimaSadek اهم شي يقبر قلبك ويقبرك بالطريق,threat of violence,misogyny,active
"RT @AHMAD_SD0: @DimaSadek كذابة 
#ديما_الواطية #ديماالكذابة #ديما_الحقيرة",discredit,misogyny,active
@abouelnouboul @DimaSadek تكبييييير ... كل ما صار شي بهالبلد عملتولي فيها مكشوفه ومكشوفه .. شو الناس عم تنام وتقوم… https://t.co/NaUuvZkrPQ,none,none,none
